level1,n_nodes
home & garden,1016
sporting goods,799
hardware,514
arts & entertainment,487
electronics,404
"food, beverages & tobacco",345
health & beauty,331
vehicles & parts,230
apparel & accessories,220
business & industrial,214
toys & games,170
office supplies,145
animals & pet supplies,121
furniture,121
cameras & optics,104
baby & toddler,81
mature,38
software,35
luggage & bags,22
media,17
religious & ceremonial,13
Ground/Cruises/Packages,1
Car Rental,1
Airlines,1
Hotels/Resorts,1
Dating,1
Employment,1
Finance Services,1
Gaming/Gambling,1
Real Estate,1
Communication,1
Goods,1
Services,1
Travel,1
